Date,Time,Open,High,Low,Close,Volume ,Filename
2017.05.27,00:00,2144.99,2225.59,1736.92,1929.99,27445,TXT\BTCUSD_D1.csv
2017.05.28,00:00,1929.99,2198.99,1855.01,1987.98,26200,TXT\BTCUSD_D1.csv
2017.05.29,00:00,2101.29,2324.49,2101.27,2315.6,22078,TXT\BTCUSD_D1.csv
2017.05.30,00:00,2315.99,2345.07,2209.82,2272.56,23452,TXT\BTCUSD_D1.csv
2017.05.31,00:00,2271.9,2328.99,2152.97,2287.36,21231,TXT\BTCUSD_D1.csv
2017.06.01,00:00,2284.72,2451.28,2267.36,2401.09,24822,TXT\BTCUSD_D1.csv
2017.06.02,00:00,2401.15,2449.97,2355.35,2434.67,22156,TXT\BTCUSD_D1.csv
2017.06.03,00:00,2373.99,2497.99,2360.99,2474.99,21351,TXT\BTCUSD_D1.csv
2017.06.04,00:00,2474.99,2503.98,2410.0,2463.54,22799,TXT\BTCUSD_D1.csv
2017.06.05,00:00,2504.84,2653.65,2496.01,2650.27,25443,TXT\BTCUSD_D1.csv
2017.06.06,00:00,2650.29,2927.99,2640.63,2866.51,29836,TXT\BTCUSD_D1.csv
2017.06.07,00:00,2865.96,2888.68,2726.4,2729.36,26524,TXT\BTCUSD_D1.csv
2017.06.08,00:00,2731.72,2805.0,2608.63,2746.17,27461,TXT\BTCUSD_D1.csv
2017.06.09,00:00,2746.19,2863.23,2746.18,2822.1,25232,TXT\BTCUSD_D1.csv
2017.06.10,00:00,2733.0,2854.14,2716.49,2779.5,43029,TXT\BTCUSD_D1.csv
2017.06.11,00:00,2779.5,2883.54,2731.99,2838.31,58768,TXT\BTCUSD_D1.csv
2017.06.12,00:00,2925.62,2974.99,2475.52,2610.59,28490,TXT\BTCUSD_D1.csv
2017.06.13,00:00,2614.4,2778.07,2604.38,2690.39,30763,TXT\BTCUSD_D1.csv
2017.06.14,00:00,2690.71,2795.5,2486.63,2536.05,32456,TXT\BTCUSD_D1.csv
2017.06.15,00:00,2536.43,2539.96,2115.49,2344.22,36123,TXT\BTCUSD_D1.csv
2017.06.16,00:00,2344.25,2532.9,2302.61,2487.53,29748,TXT\BTCUSD_D1.csv
2017.06.17,00:00,2473.3,2580.99,2426.02,2553.58,17165,TXT\BTCUSD_D1.csv
2017.06.18,00:00,2550.0,2579.82,2420.13,2421.99,25108,TXT\BTCUSD_D1.csv
2017.06.19,00:00,2469.82,2590.73,2456.01,2574.09,28601,TXT\BTCUSD_D1.csv
2017.06.20,00:00,2574.07,2776.68,2559.99,2764.71,30780,TXT\BTCUSD_D1.csv
2017.06.21,00:00,2765.64,2783.98,2629.54,2674.25,30357,TXT\BTCUSD_D1.csv
2017.06.22,00:00,2673.25,2734.98,2589.62,2684.21,29395,TXT\BTCUSD_D1.csv
2017.06.23,00:00,2684.02,2739.58,2672.62,2716.53,30337,TXT\BTCUSD_D1.csv
2017.06.24,00:00,2665.05,2682.7,2513.0,2566.98,21365,TXT\BTCUSD_D1.csv
2017.06.25,00:00,2570.89,2632.78,2500.0,2519.58,19505,TXT\BTCUSD_D1.csv
2017.06.26,00:00,2488.86,2545.02,2312.05,2367.44,28970,TXT\BTCUSD_D1.csv
2017.06.27,00:00,2359.92,2477.98,2286.43,2461.69,31544,TXT\BTCUSD_D1.csv
2017.06.28,00:00,2459.63,2586.41,2427.01,2578.57,29189,TXT\BTCUSD_D1.csv
2017.06.29,00:00,2576.74,2589.48,2497.74,2553.99,24215,TXT\BTCUSD_D1.csv
2017.06.30,00:00,2551.13,2564.99,2499.49,2513.82,31502,TXT\BTCUSD_D1.csv
2017.07.01,00:00,2447.05,2452.0,2354.83,2354.83,17370,TXT\BTCUSD_D1.csv
2017.07.02,00:00,2354.91,2422.0,2328.75,2402.54,21970,TXT\BTCUSD_D1.csv
2017.07.03,00:00,2485.29,2588.05,2467.68,2551.59,33963,TXT\BTCUSD_D1.csv
2017.07.04,00:00,2551.68,2634.26,2534.92,2567.3,31819,TXT\BTCUSD_D1.csv
2017.07.05,00:00,2565.58,2615.51,2525.86,2600.23,28785,TXT\BTCUSD_D1.csv
2017.07.06,00:00,2599.92,2617.5,2535.29,2593.98,27281,TXT\BTCUSD_D1.csv
2017.07.07,00:00,2593.99,2606.99,2481.01,2513.59,34148,TXT\BTCUSD_D1.csv
2017.07.08,00:00,2483.79,2511.37,2455.31,2506.91,22932,TXT\BTCUSD_D1.csv
2017.07.09,00:00,2506.9,2529.83,2489.98,2491.0,26677,TXT\BTCUSD_D1.csv
2017.07.10,00:00,2525.07,2535.18,2344.5,2374.08,30436,TXT\BTCUSD_D1.csv
2017.07.11,00:00,2374.12,2393.44,2239.71,2325.77,31036,TXT\BTCUSD_D1.csv
2017.07.12,00:00,2325.78,2402.42,2234.76,2372.61,34358,TXT\BTCUSD_D1.csv
2017.07.13,00:00,2373.78,2420.48,2308.47,2334.0,33029,TXT\BTCUSD_D1.csv
2017.07.14,00:00,2333.49,2352.42,2143.73,2146.94,25622,TXT\BTCUSD_D1.csv
2017.07.17,00:00,1872.16,2176.73,1846.9,2161.86,27144,TXT\BTCUSD_D1.csv
2017.07.18,00:00,2161.8,2386.76,2136.33,2347.12,28489,TXT\BTCUSD_D1.csv
2017.07.19,00:00,2347.03,2397.51,2218.01,2254.03,26892,TXT\BTCUSD_D1.csv
2017.07.20,00:00,2253.23,2726.0,2233.78,2726.0,24813,TXT\BTCUSD_D1.csv
2017.07.21,00:00,2727.8,2931.35,2607.67,2631.57,30348,TXT\BTCUSD_D1.csv
2017.07.24,00:00,2778.21,2795.0,2696.01,2752.88,24991,TXT\BTCUSD_D1.csv
2017.07.25,00:00,2749.86,2770.43,2445.01,2478.86,25589,TXT\BTCUSD_D1.csv
2017.07.26,00:00,2475.51,2603.21,2396.0,2495.9,34012,TXT\BTCUSD_D1.csv
2017.07.27,00:00,2496.28,2594.02,2445.7,2577.48,28712,TXT\BTCUSD_D1.csv
2017.07.28,00:00,2576.13,2818.98,2574.22,2747.52,25049,TXT\BTCUSD_D1.csv
2017.07.31,00:00,2704.63,2879.69,2675.51,2879.69,28552,TXT\BTCUSD_D1.csv
2017.08.01,00:00,2880.06,2924.06,2610.01,2730.5,28706,TXT\BTCUSD_D1.csv
2017.08.02,00:00,2728.1,2755.3,2665.01,2680.98,23506,TXT\BTCUSD_D1.csv
2017.08.03,00:00,2680.61,2801.94,2659.45,2777.01,14694,TXT\BTCUSD_D1.csv
2017.08.04,00:00,2779.0,2872.77,2760.67,2832.56,28338,TXT\BTCUSD_D1.csv
2017.08.07,00:00,3247.46,3424.85,3181.5,3341.56,25918,TXT\BTCUSD_D1.csv
2017.08.08,00:00,3340.87,3484.0,3307.0,3438.52,31169,TXT\BTCUSD_D1.csv
